Best Fit,X Values
"[3050, 4470]","[14, 0, 25, 0, 30]"
"[2608, 4370]","[0, 8, 19, 3, 30]"
"[2794, 5160]","[5, 9, 17, 0, 30]"
"[2714, 4510]","[10, 4, 17, 0, 30]"
"[2996, 5430]","[10, 6, 25, 0, 18]"
"[3225, 5710]","[12, 5, 25, 2, 20]"
"[3164, 5425]","[13, 4, 25, 0, 23]"
"[3414, 5710]","[14, 4, 25, 0, 30]"
"[2546, 5160]","[10, 6, 25, 0, 0]"
"[2603, 4355]","[0, 8, 25, 0, 25]"
"[3385, 5600]","[10, 5, 25, 3, 30]"
"[2546, 3810]","[0, 6, 25, 0, 30]"
"[2743, 5640]","[7, 8, 25, 4, 0]"
"[3365, 5050]","[15, 0, 25, 4, 30]"
"[2968, 4830]","[0, 8, 25, 4, 30]"
"[3030, 5250]","[0, 10, 25, 2, 30]"
"[2825, 3930]","[11, 0, 25, 0, 30]"
"[2689, 4790]","[0, 9, 25, 2, 20]"
"[2345, 4040]","[13, 0, 25, 2, 0]"
"[2305, 4490]","[8, 5, 25, 0, 0]"
"[2945, 5490]","[12, 5, 19, 4, 16]"
"[3205, 5300]","[10, 5, 25, 0, 30]"
"[2637, 4120]","[0, 7, 25, 0, 30]"
"[3355, 5660]","[12, 5, 25, 0, 30]"
"[2171, 3885]","[4, 6, 17, 0, 19]"
"[2745, 4145]","[12, 0, 25, 2, 19]"
"[2595, 4250]","[15, 0, 18, 2, 18]"
"[3162, 5380]","[7, 7, 25, 0, 30]"
"[2999, 5040]","[0, 9, 25, 3, 30]"
"[3253, 5690]","[7, 8, 25, 0, 30]"
"[2750, 3750]","[10, 0, 25, 0, 30]"
"[3020, 4310]","[12, 0, 25, 2, 30]"
"[2819, 4740]","[0, 9, 25, 0, 30]"
"[3460, 5780]","[11, 5, 25, 3, 30]"
"[2637, 4120]","[0, 7, 25, 0, 30]"
"[3398, 5580]","[15, 3, 25, 0, 30]"
"[3039, 4810]","[9, 4, 25, 0, 30]"
"[2964, 4630]","[8, 4, 25, 0, 30]"
"[2709, 5280]","[13, 4, 25, 2, 0]"
"[3416, 5810]","[10, 6, 25, 2, 30]"
"[3130, 5525]","[12, 5, 25, 0, 21]"
"[2446, 4230]","[6, 6, 14, 0, 30]"
"[2900, 4110]","[12, 0, 25, 0, 30]"
"[2403, 4235]","[0, 8, 25, 0, 17]"
"[2750, 5275]","[12, 5, 20, 2, 11]"
"[3170, 5460]","[11, 5, 18, 4, 30]"
"[3227, 5945]","[9, 7, 25, 4, 17]"
"[2780, 3690]","[8, 0, 25, 3, 30]"
"[3245, 4850]","[15, 0, 25, 2, 30]"
"[2819, 4740]","[0, 9, 25, 0, 30]"
"[2968, 4830]","[0, 8, 25, 4, 30]"
"[3290, 4870]","[14, 0, 25, 4, 30]"
"[2741, 4730]","[7, 6, 16, 2, 30]"
"[2715, 4090]","[13, 0, 15, 4, 30]"
"[2865, 4270]","[13, 0, 18, 4, 30]"
"[3155, 4590]","[13, 0, 25, 3, 30]"
"[2625, 4080]","[13, 0, 25, 0, 16]"
"[3010, 4700]","[5, 5, 25, 3, 30]"
"[2794, 5160]","[5, 9, 17, 0, 30]"
"[2677, 5075]","[7, 7, 16, 4, 19]"
"[2778, 5270]","[6, 8, 25, 0, 14]"
"[2500, 4670]","[0, 10, 12, 4, 30]"
"[3323, 5400]","[14, 3, 25, 0, 30]"
"[2750, 4425]","[15, 0, 25, 0, 15]"
"[2796, 5175]","[9, 6, 25, 0, 13]"
"[3296, 5610]","[10, 6, 25, 0, 30]"
"[2930, 4050]","[10, 0, 25, 3, 30]"
"[2442, 4945]","[8, 7, 14, 3, 13]"
"[2930, 4410]","[14, 0, 19, 3, 30]"
"[3025, 4780]","[6, 5, 25, 2, 30]"
"[2743, 5430]","[7, 8, 18, 4, 14]"
"[2569, 4590]","[0, 9, 25, 0, 20]"
"[2663, 4540]","[12, 3, 10, 4, 30]"
"[2844, 5430]","[5, 9, 25, 0, 16]"
"[2766, 5015]","[7, 6, 25, 2, 13]"
"[2908, 5270]","[6, 8, 16, 3, 30]"
"[2646, 4410]","[4, 6, 25, 0, 22]"
"[2819, 4740]","[0, 9, 25, 0, 30]"
"[2640, 4090]","[14, 0, 12, 4, 30]"
"[2565, 3895]","[10, 0, 25, 4, 13]"
"[2805, 4170]","[13, 0, 18, 3, 30]"
"[2744, 5230]","[14, 4, 16, 3, 14]"
"[3080, 5495]","[12, 5, 25, 0, 19]"
"[2880, 5000]","[11, 5, 17, 0, 30]"
"[3416, 5810]","[10, 6, 25, 2, 30]"
"[2461, 4585]","[6, 6, 17, 4, 15]"
"[2980, 5120]","[11, 5, 19, 0, 30]"
"[3012, 5560]","[9, 7, 25, 0, 18]"
"[2901, 5130]","[9, 6, 15, 3, 30]"
"[2490, 3370]","[8, 0, 18, 4, 30]"
"[2900, 4110]","[12, 0, 25, 0, 30]"
"[3365, 5050]","[15, 0, 25, 4, 30]"
"[2728, 4430]","[0, 8, 25, 0, 30]"
"[2544, 3490]","[0, 4, 25, 3, 30]"
"[2600, 3795]","[11, 0, 25, 0, 21]"
"[2675, 3930]","[13, 0, 19, 0, 30]"
"[2737, 4960]","[8, 7, 15, 0, 30]"
"[2904, 5660]","[14, 4, 25, 4, 0]"
"[2845, 5610]","[12, 5, 25, 4, 0]"
"[2900, 4110]","[12, 0, 25, 0, 30]"
"[2755, 4350]","[13, 0, 25, 3, 14]"
"[2580, 3810]","[12, 0, 15, 3, 30]"
"[2862, 5065]","[6, 7, 25, 0, 21]"
"[2680, 4035]","[11, 0, 25, 3, 17]"
"[2695, 3900]","[0, 5, 25, 4, 30]"
"[2750, 3750]","[10, 0, 25, 0, 30]"
"[2759, 4780]","[0, 9, 19, 4, 30]"
"[2475, 3450]","[9, 0, 25, 0, 22]"
"[2482, 4980]","[9, 7, 12, 2, 18]"
"[2651, 5280]","[9, 6, 25, 3, 0]"
"[2730, 4790]","[9, 5, 22, 0, 20]"
"[3594, 6010]","[14, 4, 25, 3, 30]"
"[2833, 5270]","[7, 8, 13, 3, 30]"
"[2495, 4400]","[15, 0, 25, 2, 0]"
"[3091, 5480]","[9, 6, 25, 2, 20]"
"[2930, 5060]","[11, 5, 18, 0, 30]"
"[3071, 5070]","[7, 6, 25, 0, 30]"
"[2870, 3950]","[10, 0, 25, 2, 30]"
"[2850, 4485]","[15, 0, 25, 0, 19]"
"[3215, 4690]","[13, 0, 25, 4, 30]"
"[3051, 5250]","[7, 6, 25, 3, 22]"
"[2364, 3190]","[0, 4, 25, 0, 30]"
"[2655, 3750]","[9, 0, 25, 3, 22]"
"[2886, 5080]","[6, 6, 25, 4, 16]"
"[2550, 3870]","[14, 0, 15, 0, 30]"
"[2762, 4900]","[7, 7, 17, 0, 30]"
"[3059, 5140]","[0, 9, 25, 4, 30]"
"[2945, 4670]","[15, 0, 25, 2, 18]"
"[2615, 4600]","[15, 0, 25, 4, 0]"
"[2705, 3510]","[7, 0, 25, 3, 30]"
"[3215, 4690]","[13, 0, 25, 4, 30]"
"[3005, 4230]","[11, 0, 25, 3, 30]"
"[2721, 4650]","[7, 6, 18, 0, 30]"
"[2999, 5040]","[0, 9, 25, 3, 30]"
"[2890, 5230]","[0, 10, 25, 3, 22]"
"[2965, 4675]","[14, 0, 25, 4, 17]"
"[2979, 5525]","[14, 4, 19, 4, 15]"
"[2530, 3675]","[9, 0, 25, 3, 17]"
"[3339, 5530]","[13, 4, 25, 0, 30]"
"[2875, 4350]","[15, 0, 20, 0, 30]"
"[3146, 5250]","[8, 6, 25, 0, 30]"
"[2819, 4740]","[0, 9, 25, 0, 30]"
"[2615, 4600]","[15, 0, 25, 4, 0]"
"[2945, 4490]","[15, 0, 19, 2, 30]"
"[2999, 5040]","[0, 9, 25, 3, 30]"
"[2546, 5160]","[10, 6, 25, 0, 0]"
"[3227, 5945]","[9, 7, 25, 4, 17]"
"[2825, 4470]","[15, 0, 25, 0, 18]"
"[2390, 3505]","[9, 0, 20, 4, 19]"
"[2692, 4975]","[6, 7, 19, 3, 19]"
"[2570, 3785]","[11, 0, 21, 2, 23]"
"[2850, 4485]","[15, 0, 25, 0, 19]"
"[2946, 5280]","[10, 6, 21, 0, 24]"
"[2275, 3585]","[14, 0, 11, 0, 27]"
"[2630, 4335]","[15, 0, 18, 3, 17]"
"[2519, 4440]","[0, 9, 21, 0, 26]"
"[2450, 3210]","[8, 0, 22, 0, 30]"
"[3654, 6110]","[14, 4, 25, 4, 30]"
"[2670, 3740]","[10, 0, 22, 2, 28]"
"[2830, 4455]","[15, 0, 18, 3, 25]"
"[2682, 4785]","[6, 7, 15, 2, 29]"
"[2564, 4720]","[14, 4, 9, 0, 28]"
"[2801, 5325]","[10, 6, 19, 3, 15]"
"[2805, 4170]","[13, 0, 18, 3, 30]"
"[3090, 5350]","[0, 10, 25, 3, 30]"
"[3342, 5680]","[7, 7, 25, 3, 30]"
"[2915, 4510]","[15, 0, 16, 4, 30]"
"[2908, 4730]","[0, 8, 25, 3, 30]"
"[2545, 3755]","[10, 0, 25, 2, 17]"
"[2845, 4475]","[14, 0, 25, 2, 17]"
"[2712, 5020]","[9, 7, 13, 0, 30]"
"[2786, 5560]","[10, 6, 25, 4, 0]"
"[3182, 5790]","[9, 7, 25, 2, 20]"
"[3015, 4840]","[15, 0, 25, 4, 16]"
"[3417, 5860]","[8, 7, 25, 3, 30]"
"[3005, 4230]","[11, 0, 25, 3, 30]"
"[3127, 5540]","[8, 7, 18, 4, 30]"
"[3305, 4950]","[15, 0, 25, 3, 30]"
"[3059, 5140]","[0, 9, 25, 4, 30]"
"[2915, 3970]","[9, 0, 25, 4, 30]"
"[2726, 4110]","[0, 6, 25, 3, 30]"
"[3155, 4590]","[13, 0, 25, 3, 30]"
"[2786, 5560]","[10, 6, 25, 4, 0]"
"[2726, 4110]","[0, 6, 25, 3, 30]"
"[2765, 3610]","[7, 0, 25, 4, 30]"
"[3237, 5560]","[8, 7, 25, 0, 30]"
"[3059, 5250]","[13, 4, 17, 2, 30]"
"[3125, 4650]","[15, 0, 25, 0, 30]"
